brand,mileage_band,age_band,mean,median,count,lower_estimate,upper_estimate
alfa_romeo,100k+,13-20 years,1939.7913669064749,1500.0,139,1275.0,1724.9999999999998
alfa_romeo,100k+,20+ years,3829.923076923077,1500.0,13,1275.0,1724.9999999999998
alfa_romeo,100k+,8-12 years,5969.25,5675.0,36,4823.75,6526.249999999999
alfa_romeo,50k-100k,8-12 years,7844.588235294118,7300.0,17,6205.0,8395.0
audi,0-20k,0-3 years,36138.065217391304,33700.0,46,28645.0,38755.0
audi,0-20k,4-7 years,25365.333333333332,22499.0,69,19124.149999999998,25873.85
audi,100k+,13-20 years,4513.97338065661,3900.0,1127,3315.0,4485.0
audi,100k+,20+ years,1878.1002570694088,1200.0,389,1020.0,1380.0
audi,100k+,4-7 years,19180.859649122805,17199.5,114,14619.574999999999,19779.425
audi,100k+,8-12 years,11726.802614379085,10900.0,765,9265.0,12534.999999999998
audi,20k-50k,0-3 years,39510.72727272727,36000.0,11,30600.0,41400.0
audi,20k-50k,4-7 years,25986.53086419753,24500.0,162,20825.0,28174.999999999996
audi,20k-50k,8-12 years,18103.333333333332,17450.0,15,14832.5,20067.5
audi,50k-100k,13-20 years,8311.509803921568,8699.0,51,7394.15,10003.849999999999
audi,50k-100k,20+ years,6661.545454545455,2500.0,11,2125.0,2875.0
audi,50k-100k,4-7 years,22267.19526627219,21300.0,169,18105.0,24494.999999999996
audi,50k-100k,8-12 years,17427.18316831683,15850.0,202,13472.5,18227.5
bmw,0-20k,0-3 years,34149.15789473684,33850.0,38,28772.5,38927.5
bmw,0-20k,13-20 years,4760.875,3450.0,16,2932.5,3967.4999999999995
bmw,0-20k,4-7 years,28252.3125,24495.0,16,20820.75,28169.249999999996
bmw,0-20k,8-12 years,13416.333333333334,13000.0,15,11050.0,14949.999999999998
bmw,100k+,13-20 years,4897.844671884407,3999.0,1661,3399.15,4598.849999999999
bmw,100k+,20+ years,2287.479310344828,1500.0,580,1275.0,1724.9999999999998
bmw,100k+,4-7 years,18732.573913043478,16900.0,115,14365.0,19435.0
bmw,100k+,8-12 years,12132.696511627906,10999.5,860,9349.574999999999,12649.425
bmw,20k-50k,4-7 years,26185.20408163265,25990.0,98,22091.5,29888.499999999996
bmw,20k-50k,8-12 years,20512.136363636364,18800.0,22,15980.0,21620.0
bmw,50k-100k,13-20 years,9246.99,8750.0,100,7437.5,10062.5
bmw,50k-100k,20+ years,5742.823529411765,3450.0,17,2932.5,3967.4999999999995
bmw,50k-100k,4-7 years,22587.745454545453,20999.0,165,17849.149999999998,24148.85
bmw,50k-100k,8-12 years,15453.189781021898,14275.0,274,12133.75,16416.25
chevrolet,100k+,13-20 years,4517.8,2699.0,25,2294.15,3103.85
chevrolet,100k+,20+ years,5212.2307692307695,5500.0,13,4675.0,6324.999999999999
chevrolet,100k+,8-12 years,3752.340909090909,2375.0,44,2018.75,2731.25
chevrolet,20k-50k,4-7 years,16318.842105263158,10800.0,19,9180.0,12419.999999999998
chevrolet,50k-100k,4-7 years,9656.952380952382,7650.0,21,6502.5,8797.5
chevrolet,50k-100k,8-12 years,5790.69696969697,3499.0,33,2974.15,4023.85
chrysler,100k+,13-20 years,2310.3376623376626,2100.0,77,1785.0,2415.0
chrysler,100k+,20+ years,1887.5,925.0,16,786.25,1063.75
chrysler,100k+,8-12 years,9440.818181818182,9200.0,11,7820.0,10580.0
citroen,100k+,13-20 years,1619.1702127659576,1450.0,188,1232.5,1667.4999999999998
citroen,100k+,20+ years,1303.2142857142858,849.5,14,722.0749999999999,976.925
citroen,100k+,8-12 years,4695.5142857142855,4000.0,105,3400.0,4600.0
citroen,20k-50k,4-7 years,9785.384615384615,9300.0,13,7905.0,10695.0
citroen,20k-50k,8-12 years,5841.263157894737,4700.0,19,3995.0,5405.0
citroen,50k-100k,13-20 years,3946.222222222222,2850.0,27,2422.5,3277.4999999999995
citroen,50k-100k,4-7 years,10486.0,9675.0,22,8223.75,11126.25
citroen,50k-100k,8-12 years,5596.25,4200.0,64,3570.0,4830.0
dacia,100k+,8-12 years,2659.8709677419356,2500.0,31,2125.0,2875.0
dacia,20k-50k,4-7 years,9138.625,9125.0,16,7756.25,10493.75
dacia,20k-50k,8-12 years,4699.909090909091,4500.0,11,3825.0,5175.0
dacia,50k-100k,4-7 years,8161.142857142857,7438.5,14,6322.724999999999,8554.275
dacia,50k-100k,8-12 years,4696.461538461538,4490.0,13,3816.5,5163.5
daewoo,100k+,13-20 years,1044.735294117647,895.0,34,760.75,1029.25
daewoo,50k-100k,13-20 years,1219.1666666666667,1400.0,12,1190.0,1609.9999999999998
daihatsu,100k+,13-20 years,914.3333333333334,790.0,33,671.5,908.4999999999999
daihatsu,100k+,8-12 years,2884.5833333333335,2499.5,12,2124.575,2874.4249999999997
fiat,0-20k,4-7 years,9344.75,8850.0,16,7522.5,10177.5
fiat,100k+,13-20 years,1285.0223642172523,1050.0,313,892.5,1207.5
fiat,100k+,20+ years,815.9545454545455,550.0,66,467.5,632.5
fiat,100k+,8-12 years,3725.462121212121,3500.0,132,2975.0,4024.9999999999995
fiat,20k-50k,4-7 years,8599.475,8497.0,40,7222.45,9771.55
fiat,20k-50k,8-12 years,5045.333333333333,4200.0,21,3570.0,4830.0
fiat,50k-100k,13-20 years,1630.42,1499.5,50,1274.575,1724.425
fiat,50k-100k,20+ years,1253.2307692307693,800.0,13,680.0,919.9999999999999
fiat,50k-100k,4-7 years,7735.538461538462,7199.5,26,6119.575,8279.425
fiat,50k-100k,8-12 years,5140.631578947368,4990.0,95,4241.5,5738.5
ford,0-20k,0-3 years,21316.48148148148,19200.0,27,16320.0,22080.0
ford,0-20k,13-20 years,1311.4285714285713,775.0,14,658.75,891.2499999999999
ford,0-20k,4-7 years,16077.904761904761,14200.0,21,12070.0,16329.999999999998
ford,100k+,13-20 years,1749.3546034639928,1400.0,1097,1190.0,1609.9999999999998
ford,100k+,20+ years,860.8618421052631,649.5,152,552.0749999999999,746.925
ford,100k+,4-7 years,11114.617647058823,10808.0,34,9186.8,12429.199999999999
ford,100k+,8-12 years,5718.953038674033,5000.0,362,4250.0,5750.0
ford,20k-50k,13-20 years,2929.294117647059,1399.0,17,1189.1499999999999,1608.85
ford,20k-50k,4-7 years,13414.27027027027,12550.0,74,10667.5,14432.499999999998
ford,20k-50k,8-12 years,6988.6,6499.0,35,5524.15,7473.849999999999
ford,50k-100k,13-20 years,2405.4473684210525,1799.5,152,1529.575,2069.4249999999997
ford,50k-100k,20+ years,1278.4634146341464,699.0,41,594.15,803.8499999999999
ford,50k-100k,4-7 years,12235.732394366198,11999.0,71,10199.15,13798.849999999999
ford,50k-100k,8-12 years,6830.5207100591715,5999.0,169,5099.15,6898.849999999999
honda,100k+,13-20 years,2914.85,2350.0,80,1997.5,2702.5
honda,100k+,20+ years,1981.7368421052631,1049.5,76,892.0749999999999,1206.925
honda,100k+,8-12 years,7766.148148148148,7400.0,27,6290.0,8510.0
honda,20k-50k,8-12 years,9492.857142857143,7125.0,14,6056.25,8193.75
honda,50k-100k,13-20 years,4261.928571428572,3150.0,14,2677.5,3622.4999999999995
honda,50k-100k,8-12 years,8096.967741935484,7000.0,31,5950.0,8049.999999999999
hyundai,0-20k,4-7 years,10915.75,9149.5,12,7777.075,10521.925
hyundai,100k+,13-20 years,1975.31,1695.0,100,1440.75,1949.2499999999998
hyundai,100k+,4-7 years,8855.642857142857,7795.0,14,6625.75,8964.25
hyundai,100k+,8-12 years,5232.157142857143,4850.0,70,4122.5,5577.5
hyundai,20k-50k,4-7 years,10213.47619047619,8975.0,42,7628.75,10321.25
